S5A,STA1W,WCA1ME,1-8C,S6,S39
0.01,0,0,0,0.01,0.01
0.01,0,0.01,0,0,0
0.05,0,0,0,0.01,0.02
0.03,0.02,0.03,0,0,0.08
0,0,0,0.01,0,0.01
0,0,0,0,0.01,0
0,0,0,0,0,0
0,0,0,0,0.01,0.01
0,0,0,0,0,0
0.01,0,0,0.01,0.01,0.05
0,0,0,0,0,0.02
0,0,0,0,0.01,0
0,0,0,0,0,0.01
0,0,0,0,0.01,0.01
0,0,0,0,0,0.01
0,0.01,0,0,0.01,0.05
0.05,0.04,0,0.02,0.02,0.01
0,0,0,0,0.02,0
0,0,0,0,0.01,0.01
0,0,0,0,0.01,0.01
0.04,0.78,1.37,1.22,0.5,0.65
0.01,0.33,0.59,0.52,0.58,0.57
0.13,0.25,0.25,0.2,0.24,0.28
0,0,0,0,0,0
0,0,0,0,0,0.01
0.21,0.13,0.21,0.11,0.16,0.07
0,0,0,0,0.01,0
0,0,0,0,0.01,0
0,0,0,0,0,0.01
0,0,0,0,0,0.01
0,0,0,0,0.01,0
0.03,0.04,0,0,0,0.02
0,0,0,0,0.01,0.01
0,0,0,0,0.01,0
0,0,0,0,0.01,0.03
0,0,0,0,0,0
0,0,0,0,0,0
0,0.02,0,0,0,0
0,0,0,0,0.01,0
0,0,0,0,0,0
0,0,0,0,0.01,0
0,0,0,0,0.01,0.01
0,0,0,0,0.01,0.01
0.08,0.09,0.01,0,0.01,0
0,0,0,0,0,0
0,0.02,0,0,0.03,0
0.17,0.32,0.64,0.32,0.56,0.31
0.01,0.05,0.19,0.1,0.04,0.08
0,0,0,0,0.01,0
0,0,0,0,0.01,0.01
0,0,0,0,0.01,0
0,0,0,0,0,0
0.01,0,0,0,0,0
0,0,0.01,0,0.01,0
0.03,0.52,0.1,0.32,0.01,0.01
0.15,0.34,1.18,0.99,0.49,2.17
0,0.16,2.04,0.3,1.05,0.84
0.01,0,0,0,0.01,0.01
0,0.03,0.14,0.19,0,0.96
0,0,0,0,0.01,0.05
0,0,0,0,0.01,0
0,0,0,0.03,0,0
0,0,0,0,0.01,0
0,0.01,0,0,0,0.01
0,0.02,0,0.01,0.02,0
0,0,0.01,0,0.01,0
0,0,0,0,0,0
0,0,0,0,0.01,0.03
0,0,0,0,0,0
0,0,0,0,0.01,0.5
0,0,0,0,0,0
0,0,0,0,0,0
0.02,1.68,2.82,2.77,1.79,2.61
0.06,0.78,1.48,1.78,0.7,1.03
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0.2,0.45,0.12,0
0.12,0.23,2.22,0.67,0.71,0.7
0,0.01,0,0,0.01,0.04
0.07,0.15,1.05,0.18,0.87,0.18
0,0,0,0,0,0.01
0,0,0,0,0,0
0,0,0,0,0.15,0
0,0.01,0.33,0.21,0.07,0.08
0.36,0.25,0.65,0.17,1.27,1.53
0.17,0.07,0.51,0.5,0.01,0.03
0,0.17,0.03,0.06,0.88,0.47
0,0,0,0,0.01,0.14
0.3,0.5,2.2,1.49,0.15,0.23
0.34,1.21,1.02,2,0.38,0.53
0,0.05,0,0,0.01,0.01
0.02,0.02,0.07,0.03,0.09,0.01
0.08,0.04,0,0.55,0.03,0
0,0,0,0.09,0.01,0
0,0,0,0,0,0.01
0,0.04,0,0,0,0
0,1.11,0,0,1.24,0.01
0,0,0.08,0,0.04,0
0.06,0.06,0,0,0,0.03
0.27,0.12,0.12,0.21,0.06,1.55
0.04,0.06,0.13,0.27,0.04,0.18
0.11,0.97,0.27,0,0.29,0.11
0.05,0.05,0.02,0,0.02,0.03
1.59,0.58,0.81,0.15,0.55,1.36
0.25,0.05,0,0.01,0.26,0.04
1.6,0.7,0.23,1.56,0,0.66
0.06,0.09,2.09,0.13,0,0.12
0.45,0.01,0.03,0.96,0,0.06
0.1,0.21,0.05,0.02,0,0.02
0.11,0.13,0.08,0.18,0,0.01
0,0,0,0,0,0.01
0,0,0,0,0,0
0,0,0.04,0,0,0
0,0,1.26,0.08,0.07,0.16
0,0,0.08,0.03,0.03,0.02
0.03,0.11,0,0,0,0.01
0.08,0.16,2.65,0.2,0.74,0.59
0,0,0,0.11,0.03,0.01
0,0,0,0,0,0.07
0.03,0,0,0,0,0.01
0.03,0.31,0.05,0,0,0
0,0,0,0,0,0.01
1.49,0.86,0.73,1.71,0.98,0.14
0.45,0.01,0.15,0.15,0.21,0.18
0.01,0.06,0.1,0.65,0.21,0.43
0.08,0.22,1.74,1.11,0.93,0.02
0.62,0.04,0.55,0.09,1.08,0.6
0.16,0,0,0.01,0.01,0.06
0.14,0.1,1.29,0.08,0.26,0.13
0,0,0.06,0.05,0.01,0.32
0.47,0.3,0,0.08,0.02,0.66
0,0.11,0.29,0.05,1.21,0.05
0.36,0.29,0.16,0.04,0.6,0.06
0.39,0.29,1.82,0.74,0.13,0.19
0.03,0,0,0,0,0.01
2.35,2.3,0.04,0,0.3,0.16
0,0.01,0,0,0,0.01
0,0,0,0,0,0
0.55,0.1,0,0,0,0.07
0,0,0,0,0,0.01
0,0,0.89,0.01,0,0
0.01,0.01,0,0,0,0.01
0.2,0.02,0.01,0.15,0.34,0.07
0,0.01,0,0,0.06,0.01
0.18,0.35,0,0,0.6,0
0,0,0,0.04,0.01,0.13
0.24,0.21,0.38,0.03,0.01,0.43
0,0,0,0,0.01,0.02
0,0.19,0,0.05,0,0
0,0,0,0,0,0.01
0.03,0.09,0.07,0.03,0,0.04
1.15,0.97,0.24,0.31,0.25,0.03
0.93,0.14,0,0.01,0,0.01
0,0,0.07,0.11,0.09,0.15
0.3,0.02,0,0.02,0,0.05
0.43,0,0.48,1.12,0,0.5
0,0.13,0,0,0,0
2.47,1.39,1.23,0.48,0.2,2.08
0.03,0.01,0.55,0.02,0.01,0.01
0,0,0,0,0,0.01
0,0,0,0,0.24,0
0,0,0,0.02,0.01,0.01
0,0,0,0,0,0.15
0,0,0,0,0,0.01
0,0,0,0,0,0.01
0,0,0,0,0.55,0.17
0.01,0,2.63,0.62,0.44,0.22
0.03,0.19,0.91,0.73,0.15,0.42
0,0,0,0,0.01,0.01
0.28,0.3,0.02,0,0,0.01
0,0.02,0,0,0,0.02
0,0.56,0.32,0,0.02,0.01
0.05,0.12,0.41,0,0.63,1.08
0.24,0,0,0,0.12,0.17
0,0,0.06,0,0.17,0.01
0,0.55,0.02,0.2,0.13,0.29
0,0,0.01,0.09,0.01,0.11
0.03,0.07,0.8,0.01,0,0.01
0,0,0.07,0,0,0
1.4,1.43,0.09,0,0,0.03
0.13,0.07,0.15,0.58,0,0.12
0.15,0.31,0.2,0.95,0.05,0.61
0,0.06,0,0,0.03,0.01
0,0,0.03,0,0,0.01
0.72,1.61,1.64,0.19,1.64,0.8
0,0.01,0,0.04,0.02,0.17
0.17,0.24,0.04,0,0.02,0.35
0.7,0.94,1.19,2.95,0.68,1.88
0.63,0.57,1.27,1.03,0.4,1.08
0.24,0.16,0.32,0.36,0.18,0.12
0,0.01,0.03,0,0.01,0.02
0,0,0,0,0,0.01
1.04,1.01,1.36,1.2,0.57,0.29
0.38,0.58,0.6,0.88,0.61,2.19
1.21,0.87,1.85,0.97,1.08,0.29
0.23,0.28,0.29,0.81,0.89,1
0.29,0.02,0.1,0.55,0,0.53
0,0.05,0.02,0.04,0,0
0.21,0.17,0.45,0.87,0.69,0.44
0.05,0.01,0.1,0.11,0.04,0.28
0.19,0.26,0.65,0.71,0.12,0.04
0.05,0.03,0.12,0.39,0.14,0
0,0,0,0,0,0
0,0,0,0,0,0.01
0,0,0,0,0,0
0,0,0,0,0,0.01
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.18,0.03,0.37,1.01,0.08,0.52
0.1,0.03,0.13,0.07,0,0.17
0,0,0,0,0,0.01
0.7,1.06,0.85,0.93,1.26,1.12
0.11,0.25,0.07,0.17,0.13,0.17
0.03,0,0,0.03,0.01,0.06
0,0,0.06,0.02,0,0.09
0,0,0,0,0,0
0.4,0.45,0,0.16,0.13,0.02
0.02,0.02,0.1,0.17,0.03,0.01
0.45,0.17,0.39,1.75,0.2,0.76
0,0,0,0.01,0,0.28
0.01,0.08,0.1,0.17,0.09,0.8
0.22,0.5,0.15,0.02,0.06,0.1
0.06,0.06,0.1,0.1,0.08,0.09
0.18,0.16,0.42,0.34,0.17,0.23
0.05,0.08,0.18,0.13,0.01,0.07
0.01,0.01,0,0,0,0.01
0,0,0,0,0,0
0,0,0,0,0.01,0.01
0,0,0,0,0,0
0,0,0,0,0.01,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0.01,0
0,0,0,0,0,0
0,0,0,0,0.01,0
0.02,0,0,0,0,0
0.12,0.02,0.17,0,0,0.01
0.13,0.02,0.13,0,0.01,0.02
0,0,0,0,0,0.01
0,0,0,0,0,0
0,0,0,0,0.01,0.01
0,0,0,0,0,0.01
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0.01
0,0,0,0,0,0.02
0,0,0,0,0,0
0.01,0.01,0,0,0,0.02
0,0,0,0,0,0.01
0,0.01,0,0,0,0
0.01,0.01,0,0,0,0
0,0.16,0.03,0,0,0.01
0,0,0,0,0,0.01
0,0,0,0,0,0
0.01,0.01,0,0,0,0.01
0,0,0,0,0,0
0,0,0,0,0,0.01
0,0,0,0,0,0
0,0,0,0,0.01,0.02
0,0,0,0,0,0
0,0,0,0,0,0.01
0,0,0,0,0,0.01
0,0,0,0,0,0.01
0.01,0.02,0,0.01,0,0.02
0,0,0,0,0.01,0.01
0,0,0,0,0,0
0.42,0.62,0,0.49,0.24,0.28
1.25,0.53,1.14,0.28,0.3,0.72
0,0,0,0,0,0.01
0.43,0.57,0.01,0.03,0.02,0
0,0,0,0,0.01,0.01
0,0,0,0,0.01,0.01
0,0,0,0,0,0.01
0.01,0,0,0.03,0,0.08
0,0,0,0,0.01,0
0,0,0,0,0,0.01
0,0,0,0,0,0
0,0,0,0,0,0
0.04,0.03,0,0.08,0.13,0.05
0,0,0,0,0.01,0.01
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0.01
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0.13,0.01,0,0
0,0,0,0,0.01,0
0,0,0,0,0.01,0.01
0.14,0.05,0,0.04,0.02,0.03
0,0,0,0.03,0.02,0.03
0,0,0,0,0.02,0.01
0,0,0,0,0,0
0,0,0,0,0,0.01
0,0,0,0,0,0
0.01,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0.03,0
0,0.01,0,0,0,0.16
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0.01,0.01
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0.01,0
0.19,0.21,0.42,0.37,0.5,0.28
0.01,0,0,0.02,0.02,0.01
0.48,0,0,0.46,0.13,0.56
0.36,0.04,0,0.95,0,0.02
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0.01
0.01,0,0,0,0.01,0
0,0,0,0,0.01,0.01
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0.01
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0.01,0.01
0,0,0,0.01,0,0
0,0,0,0,0,0
0,0,0,0,0.01,0
0.36,0.83,0,0.73,0.23,0.31
0,0,0,0.01,0,0.01
0,0,0,0,0,0.01
0.55,0.36,0,1.36,0.73,1.5
2.12,1.24,0,2.24,2.12,2.07
0,0,0,0,0.01,0.01
0,0,0,0,0,0.01
0,0,0,0,0,0
0,0,0,0.3,0,0.13
0,0,0,0.02,0,0
0.04,0.1,0,0,0,0
0,0,0,0,0,0.01
0.19,0.17,0.36,0.28,0.32,0.34
0,0.16,0,0,0,0.01
0,0,0,0,0,0
0.08,0.22,0.81,0.48,0.32,0.05
0,0,0,0,0,0
0,0,0.11,0.03,0.02,0
0.54,0.9,0.5,0.18,0.08,0.03
0,0,0,0,0.02,0.01
0,0,0,0,0,0.01
0,0,0,0,0,0
0,0,0,0,0,0.01
0,0,0,0,0.05,0.02
0.29,0.19,0,0,0.07,0
0.14,0.14,0.31,0.52,0.42,0.57
1.38,2.7,1.44,1.57,2.09,1.42
0.02,0,0.01,0,0.01,0.01
0.5,0.44,0.35,0.46,0.28,0.16
0,0,0,0,0.01,0
0,0,0,0,0,0
0.59,0.33,0,0.01,0,0
0,0,0,0,0,0
0,0,0,0,0.01,0
0.02,0.08,0,0.03,0,0.37
0,0,0,0,0,0.02
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.15,0.07,0,0,0.02,0
0,0,0,0,0.01,0
0.41,0.72,1.39,0.8,5.37,0.44
0.39,0.39,0.9,1.46,2.64,0.33
0,0,0,0.01,0.01,0.76
0,0,0,0,0.01,0.03
0,0,0,0,0,0.02
0,0,0,0,0.01,0.01
0,0,0,0,0,0.02
0,0,0,0,0,0.01
0,0,0,0.53,0,0.01
0.1,0.07,0.01,0.28,0,0.01
0,0,0,0,0,0
0.01,0.02,0,0.05,0.11,0.01
0.02,0.04,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0.01
0.79,1.03,0,2.57,3.85,0.01
0.57,0.95,0.01,0.48,1.46,1.39
0,0,0,0,0,0.03
0,0,0,0,0,0.01
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.5,0,0,0.1,0,0.04
0,0,0,0,0.02,0
0,0,0,0,0.01,0
0,0,0,0,0.02,0.01
0,0,0,0,0,0
0,0,0,0,0.01,0
0,0,0,0,0,0.01
0.04,0.18,0.07,0.21,0.02,0.02
0,0,0.01,0,0.01,0
0,0,0,0,0.01,0
0,0,0,0,0.01,0.01
0.01,0.01,0,0,0,0
0,0,0,0,0.01,0
0,0,0,0,0,0.01
0,0,0,0,0.01,0.01
0,0,0.07,0.01,0,0
0,0,0,0,0.01,0
0,0,0,0,0.01,0
0,0,0,0,0.01,0.01
0,0,0,0,0.01,0.01
0,0,0,0,0,0.01
0,0,0,0,0.01,0
0,0,0,0,0,0
0,0,0,0,0.01,0.01
0,0,0,0,0.01,0.01
0.11,0.16,0,0,0.02,0.11
0.16,0.03,0,0,0.01,0
0.01,0,0.16,0,0,0
0,0.02,0.02,0,0.01,0
0,0.04,0,0,0,0
0,0,0,0,0.02,0
0,0,0,0,0.01,0.01
0,0,0,0,0.01,0.02
0,0,0,0,0.01,0.01
0,0,0,0,0.01,0
0,0,0,0,0,0.01
0,0,0,0,0.01,0
0,0,0,0,0,0
0,0,0,0,0,0.01
1.06,1.91,0.2,0.44,0.22,0.04
0.06,0.11,0.42,0.28,0.12,0.14
0.61,0.89,2.98,3.58,1.43,2.02
0,0,0,0.01,0.02,0.01
0,0,0,0,0.01,0.01
0.01,0,0,0,0.01,0.03
0.01,0,0,0,0,0.02
0.07,0,0,0,0,0
0,0,0,0.01,0.06,0.01
0,0,0,0,0,0.01
0,0,0,0.07,0,0.03
0,0,0.55,0.14,1.59,0.01
0,0,0,0.03,0.3,0.34
0,0,0,0,0.01,0.01
0,0,0,0,0,0.01
0.03,0,0.01,0,0.01,0.04
0,0,0,0,0,0.01
0.01,0,0,0.16,0,0.01
0.61,0.17,0,0,0,0.01
1.03,0.54,0.99,0.74,0.18,1.2
0.07,0.89,0.63,0,0.25,0.14
0.09,0.01,0.04,0,0.08,0.04
0,0.01,0.01,0,0,0.02
0,0,0.02,0,0,0
0.04,0.03,0,0,0.01,0.01
0.52,0.22,0,0,0.28,0.09
0.18,0.01,0.09,0,0.03,0.91
1.86,2.18,0.53,0,0.87,0.51
0.86,0.35,1.04,0,1.24,0.17
0,0.01,0.01,0,0.02,0.32
1.03,0.59,0.71,0.72,1.61,1.11
2.19,1.25,1.85,0.96,0.33,1.08
0.48,0.43,0.47,0.48,0.41,0.06
0.01,0,0,0,0.01,0
0,0.01,0,0.07,0.1,0
0.15,0.31,0,0.03,0.02,0.01
0,0.01,0,0,0,0
0,0.03,0,0,0,0
0,0,0,0,0,0.01
0.12,0.07,0.11,0.02,0.47,0.15
0.63,0.12,0.55,0.32,0.13,0.63
0.06,0.12,0.24,0.16,0.85,0.12
0.92,0.2,0.4,0.06,0.72,0.14
0.21,0.1,0.96,0.05,0.08,0.05
0.02,0.31,1.29,0.45,0.18,1.13
1.29,1.27,0.15,0.11,1.64,0.02
0.08,0.22,0.39,0.36,0.45,0.21
0,0.03,0,0.22,0,0.02
0,0,0,0,0,0
0,0,0,0,0,0.01
0,0,0,0,0,0.01
0,0.04,0.96,0.02,0.76,0.39
0.02,0.11,0.16,0.32,0.02,0.02
0,0.21,0.21,0.28,0.12,0.43
0.31,0.23,0.63,0.28,1.04,1.05
0.01,0.04,0.02,0.01,0.06,0.02
0.06,0.19,1.04,0.14,0.26,0
0,0,1.58,0.17,1.13,0
0,0.04,0,0.45,0.15,0.01
0,0,0,0,0,0.01
0,0,0,0,0,0
0,0,0.03,0.02,0,0.02
0,0.01,0,0,0.02,0
0.16,0.4,0.15,2.22,0.62,0.29
0,0,0.26,0.84,0.04,1.08
0,0.05,0.16,0,0.01,0.01
0.28,1.1,2.13,0.26,0.33,0.02
0,0,0,0.15,0.02,0.37
0,0.02,0,0,0,0.02
0,0,0,0.27,0.01,0
0.23,0.89,0.73,0,0,0.04
0,0.04,0.99,0.21,0.04,0.01
0,0,0.02,0.85,0.04,0.14
0.05,0.01,0.44,0.06,0.05,0.06
0.3,1.07,0.1,0,0.28,0.63
0,0.57,0,0,0.04,0.01
0.84,0.41,0.08,0,0.47,0.01
0,0,0,0,0.01,0.11
0.08,0.03,0.3,0.29,0.13,0.47
0,0.03,0.31,0.75,0.33,0.01
0,0.22,0,0.87,0.01,0.27
0.31,0.29,0.01,0,0,0.05
0.33,0.27,0.48,0.61,0.49,0.33
0.01,0,0,0,0.01,0.01
0,0.44,0.01,0.16,0.17,0.11
0,0,0,0,0,0.02
0,0,0,0.01,0.15,0
0,0,0,0.07,0,0
2.46,2.04,2.77,3.39,3.37,2.46
4.52,3.39,3.46,3.65,1.81,1.81
0.12,0.1,0.13,0.03,0.17,0.01
0.14,0.06,0.01,0,0,0.16
0.42,1,0.08,0,1.18,0.21
0.19,0.44,0.02,0,0.78,1.25
0,0,0,0,0.01,0.06
0.13,0.37,0.04,0,0.01,0.01
1.39,1.19,0,0,0,0.01
0.69,1.56,0,0,0,0
0,0,0,0,0,0
0.03,0.09,0,0,0,0.02
1.07,0.75,0.15,0.12,0.09,0.07
0.06,0.67,1.4,0,0.66,0.32
0,0,0,0,0,0
0.09,0.1,0.31,0,0.05,0.11
0,0,0,0,0.01,0.01
0.08,0.11,0.03,0,0.05,0.01
2.89,3.98,3.53,1.25,4.67,4.23
0,0,0,0,0,0.01
0,0,0,0,0,0.01
0.03,0.14,0.06,0.07,0.02,0.03
0.03,0.13,0,0,0.01,0
0.01,0,0,0,0.01,0
0,0,0,0,0,0
0.01,0,0,0,0,0.03
0,0,0,0,0,0.05
0,0,0,0,0,0.01
0,0.01,0,0,0,0.01
0,0,0,0,0,0
0.01,0,0,0,0,0.01
0.07,0,0.01,0,0.02,0.02
0.01,0.01,0,0,0,0.02
0,0.01,0,0,0,0
0,0.01,0,0,0,0.02
0,0,0,0.04,0,0.02
0,0.03,0,0.04,0,0.37
0.57,0.83,0.11,0.13,0.06,0.08
0,0,0,0.02,0.1,0
0,0,0,0,0,0.01
0,0,0,0.01,0,0.02
1.09,2.58,0.9,2.05,1.31,1.69
1.13,1.11,0.06,0.01,0.18,0.41
0.34,0.37,0.27,0.2,0.19,0.26
0,0.01,0,0,0,0.01
0,0,0,0,0,0
0,0,0,0,0,0.01
2.92,2,6.38,2.34,1.97,2.98
0,0.02,0.29,0.22,0,0.16
0,0.06,0.68,1.13,0.11,0.13
0.01,0.06,0,0,0.01,0
0,0.02,0,0,0,0
0.04,0,0.15,0.92,0,0.04
0.03,0.25,0.16,0.02,0.09,0.01
0,0,0,0,0,0.03
0.02,0.14,0.58,0.04,0.04,0.28
0.63,0.61,0.54,0.21,1.47,0.74
0.14,0.16,0.09,0,0,0.03
0,0,0.09,0,0.16,0.01
0,0.01,0,0,0,0
0,0,0,0,0.15,0
0,0,0,0,0,0
0,0,0,0,0,0
0.05,0.04,0.08,0,0.07,0
0,0,0,0,0,0
0,0,0,0.02,0.03,0.2
0.44,0.65,0.75,0.94,0.36,0.48
0,0.01,0.01,0.03,0.02,0
0.31,0.61,0.13,0.08,0.57,0.97
0,0.02,0.18,0.15,0.27,0.08
0,0,0,0,0,0
0.01,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.01,0.01,0.13,0,0.02,0.28
0.01,0.02,0.03,0,0.19,0.05
0.02,0.01,0.02,0,0.01,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0.01,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.04,0.01,0,0,0.02,0
0.01,0.04,0.16,0,0.11,0.19
0,0,0.03,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0.01,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.12,0.16,0.15,0.42,0.38,0.35
0.09,0.1,0.07,0.03,0.1,0.06
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0.01,0
0.01,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.3,0.32,0.43,0.4,0.29,0.28
0,0.01,0.01,0,0,0
0,0,0,0,0,0
0.06,0.01,0.03,0.02,0.03,0.08
0.03,0,0,0,0,0
0.02,0.01,0.07,0.01,0.01,0.06
0.01,0,0,0.01,0.01,0.01
0,0,0.01,0,0,0
0,0,0,0,0.01,0
0.01,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0.01,0
0,0,0,0,0,0
0.27,0.04,0.17,0.24,0.15,0.13
0.23,0.05,0.12,0.23,0.01,0.14
0,0,0,0,0.01,0
0,0.01,0,0,0,0
0.01,0,0,0,0,0
0,0,0,0,0.01,0
0,0,0,0,0,0
0,0,0,0,0.01,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0.01,0
0.07,0,0.11,0,0,0.07
0.01,0,0,0,0.01,0
0,0,0,0,0,0
0.07,0.02,0.13,0.09,0.13,0.09
0,0,0,0.02,0.01,0
0.01,0,0,0,0,0
0,0,0,0,0.01,0
0,0,0,0,0,0
0.01,0,0,0,0.01,0
0.05,0.1,0.16,0.05,0.12,0.04
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.02,0.01,0,0.01,0.01,0.02
0,0.02,0.01,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0.01,0
0,0,0,0,0,0
0.01,0,0,0,0.01,0
0.01,0.01,0,0,0.01,0
0,0,0,0,0,0
0,0,0,0,0,0
0.36,0.43,0.17,0.06,0.14,0.15
0,0.01,0,0.01,0,0.01
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0.04,0,0,0
0,0,0,0,0,0
0.01,0.01,0,0,0.01,0
0.01,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0.01,0
0.01,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0.01,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0.01,0,0.01,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0.01,0
0,0,0,0.01,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0.01,0
0,0,0,0,0,0
0,0.01,0,0,0,0
1.12,0.93,1.28,2.69,0.51,1.67
0.07,0.11,0.09,0.05,0.07,0.2
0.01,0,0,0.01,0.01,0.03
0.14,0.07,0.82,0.28,0.35,0.5
0.01,0.01,0.05,0.04,0.03,0.01
0,0.03,0.39,0.36,0.19,0.55
0,0,0,0,0,0.04
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.08,0.13,0.07,0,0.17,0.11
0,0,0,0.01,0,0
0.82,2.45,0.06,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0.01,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.03,0.01,0.08,0.33,0,0
0,0,0.01,0.02,0.04,0
0,0,0.01,0,0.01,0
0,0,0.05,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.93,0.84,0.65,0.3,0.05,0
0.47,0.18,0.74,0.65,0.28,0.19
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0.01,0,0,0,0
0,0,0,0.06,0,0
0,0,0,0.01,0,0.01
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0.75,0,0,0.02,0
0.02,0.27,0.23,0.22,0.04,0.13
0,0,0,0,0.02,0.42
0.44,0.3,0.65,0.31,0.05,0.1
0.02,0,0.01,0.42,0,0.01
0.02,0.11,0,0.04,0.05,0.51
1.27,0.78,1.86,1.13,0.98,1.38
1.22,0.83,3.86,0.35,1.85,5.9
0.15,0.11,0.11,0.16,0.01,0.27
0.99,0.41,0.32,0.43,0.32,0.66
1.7,0.83,0.79,0.09,0.22,0.57
0.36,0.18,0.2,1.61,0.49,1.02
0.09,0,0,0,0.01,0
1.22,0.24,0.19,0.28,0.03,0.06
0.73,0.19,0.69,0.08,0.08,0.15
1.15,1.1,0.92,0.26,0.11,0.56
0.04,0.19,0.15,0.09,0.23,0.24
0.08,0.44,1.21,1.1,0.14,0.39
0.09,0.2,0.36,0.26,0.09,0.02
0,0,0.01,0.04,0.14,0.61
0.01,0.01,0,0.01,0.01,0.3
1.11,1.24,0.02,0,0.28,0.01
0.1,0.22,0,0.01,0.05,0
0.01,0.04,0,0,0,0.03
0.9,1.06,1.58,1.21,1.61,0.31
0.57,0.35,0.14,0.12,1.13,0.65
0.01,0.02,0.01,0.14,0.02,0.03
1.2,0.72,1.03,0.5,0.11,0.56
0.01,0,0.01,0.01,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.07,0.08,0,0,0,0
0,0,0,0.01,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0.4,0
0,0,0.84,0.07,0.04,0.11
0,0,0,0,0,0
0,0,0,0.04,0,0.02
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
3.07,3.11,2.48,1.35,2.18,3.25
0.1,0,0,0.01,0.01,0.04
0.01,0.05,0,0.01,0,0.06
